platform,spend,revenue,clicks,conversions,impressions,ROAS,CTR,CVR
Meta Ads,343288.13,3532372.5,474682,30358,21631301,10.289818351715219,0.021944218704182426,0.06395439473163086
Google Ads,364210.23,3445408.75,317515,29688,9288921,9.459945015822319,0.03418211867664716,0.09350109443648331
YouTube Ads,149372.72,1177276.39,254792,10038,16892890,7.881468517142888,0.015082795187797943,0.039396841345097175
LinkedIn Ads,172837.58,441956.79,72718,3727,4279634,2.557064210225577,0.01699163993930322,0.05125278473005308
